"Localidad";"Tipo_gas";"Descripcion";"fecha";"valor";"anio";"mes"
"Tolhuin";"Gas de red";"Promedio de usuarios";1999-05-01;319;1999;5
"Tolhuin";"Gas de red";"M3";1999-05-01;380000;1999;5
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-06-01;13712;1999;6
"Rio Grande";"Gas de red";"M3";1999-06-01;18800000;1999;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-06-01;293;1999;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-06-01;-9;1999;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-06-01;-9;1999;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-06-01;408;1999;6
"Rio Grande";"Gas envasado";"Granel (kg.)";1999-06-01;-9;1999;6
"Ushuaia";"Gas de red";"Promedio de usuarios";1999-06-01;12209;1999;6
"Ushuaia";"Gas de red";"M3";1999-06-01;11975983;1999;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-06-01;7745;1999;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-06-01;-9;1999;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-06-01;-9;1999;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-06-01;1526;1999;6
"Ushuaia";"Gas envasado";"Granel (kg.)";1999-06-01;-9;1999;6
"Tolhuin";"Gas de red";"Promedio de usuarios";1999-06-01;320;1999;6
"Tolhuin";"Gas de red";"M3";1999-06-01;5e+05;1999;6
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-07-01;13800;1999;7
"Rio Grande";"Gas de red";"M3";1999-07-01;19200000;1999;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-07-01;198;1999;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-07-01;-9;1999;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-07-01;-9;1999;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-07-01;388;1999;7
"Rio Grande";"Gas envasado";"Granel (kg.)";1999-07-01;-9;1999;7
"Ushuaia";"Gas de red";"Promedio de usuarios";1999-07-01;12298;1999;7
"Ushuaia";"Gas de red";"M3";1999-07-01;11988333;1999;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-07-01;7284;1999;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-07-01;-9;1999;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-07-01;-9;1999;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-07-01;1516;1999;7
"Ushuaia";"Gas envasado";"Granel (kg.)";1999-07-01;-9;1999;7
"Tolhuin";"Gas de red";"Promedio de usuarios";1999-07-01;322;1999;7
"Tolhuin";"Gas de red";"M3";1999-07-01;368000;1999;7
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-08-01;13685;1999;8
"Rio Grande";"Gas de red";"M3";1999-08-01;18600000;1999;8
